,Tiktoker name,Tiktok name,Subscribers,Views avg.,Likes avg.,Comments avg.,Shares avg.
70,youngswagonoriginal,YoungSwagon,4900000.0,5100000.0,752500.0,1400.0,6700.0
71,montpantoja,Montpantoja,35700000.0,6800000.0,1000000.0,2500.0,1900.0
72,azzyland,Azzyland,4600000.0,5300000.0,774200.0,7000.0,462.0
73,soysuco,soysuco,12500000.0,5400000.0,570500.0,8700.0,1100.0
74,bellapoarch,Bella Poarch,91400000.0,7400000.0,677300.0,4900.0,1100.0
75,max7424453118,Max Taylor,2800000.0,3500000.0,572600.0,5200.0,9500.0
76,jordanemel,Jordan e Mel,10200000.0,4400000.0,436100.0,3000.0,12200.0
77,hannahstocking,Hannah Stocking,26500000.0,7800000.0,840800.0,1600.0,2500.0
78,_xochitl.gomez,Xóchitl Gómez,7300000.0,7000000.0,1300000.0,26.0,2900.0
79,rubentuestaok,Ruben Tuesta,21300000.0,5500000.0,802300.0,1600.0,4400.0
80,charrliiieeee,Charlieee,5100000.0,12000000.0,470200.0,1700.0,2900.0
81,kallmekris,Kris HC,46300000.0,5400000.0,936600.0,3400.0,1500.0
82,dereklipp_,Derek Lipp,5300000.0,3100000.0,440500.0,2500.0,15700.0
83,jaxwritessongs,Jax,11700000.0,4099999.9999999995,683500.0,5400.0,3200.0
84,calfreezy,Calfreezy,960600.0,6500000.0,869100.0,1700.0,2400.0
85,loveofhuns,loveofhuns x,144700.0,3500000.0,382400.0,8300.0,8900.0
86,lizzza,Liza Koshy,29900000.0,4900000.0,802800.0,2200.0,3600.0
87,victormelo,Victor Melo,21900000.0,4500000.0,736700.0,2500.0,4200.0
88,wisdm8,Wisdom Kaye,8500000.0,4600000.0,874400.0,3500.0,2000.0
89,qpark,Q Park,33600000.0,5000000.0,415300.0,3900.0,6600.0
90,_lilg4,LIL G,1700000.0,4400000.0,521900.0,5500.0,4000.0
91,dylanmulvaney,Dylan Mulvaney,7300000.0,3800000.0,730800.0,6600.0,1200.0
92,hafizmahamad,Hafiz Mahamad,1100000.0,3000000.0,325100.0,14400.0,7500.0
93,oficialmarcuseni,marcus_eni,4500000.0,2200000.0,198600.0,1300.0,46000.0
